name,segment,sub_segment,profile,hq,final_score,acuity,roi_quant,whitespace,closeability,winnability,active_pain_timing,reachability,sourced_share,champion_role,economic_buyer_role,poc_angle,registry_source,registry_regulator,registry_id,registry_as_of,registry_url,evidence_urls
E-Generation Lending Corporation Operating Under The Name Of Pesopay Lending;Cash-Here Lending;Snappy Cash Lending;Mywallet Lending;Mr. Cash Lending;Pesobox Lending;Loanup Lending;,lending_company,olp_registered,prospect,Philippines,26,0.55,0.4,0.45,0.75,0.35,0.2,0.2,0.53,Loans Operations Manager / Head of Credit,President / Compliance Officer,"Across Mr. Cash, Pesopay, Cash-Here, Snappy Cash, Mywallet, Pesobox and Loanup, E-Generation is running one Certificate of Authority through seven near-identical apps that all approve small unsecured cash loans off a single ID plus a selfie, which suggests decisions today are likely made by shared rules-based checks rather than a document-underwriting layer, and that fraud and duplicate-identity risk across the seven brands may be harder to catch than the ""5-minute"" marketing implies. The worth-testing hypothesis is narrow: route the ID-plus-selfie intake from one of the seven apps through Kita Capture and Document Risk Score for 30-60 days, alongside the existing flow, and see whether it flags fraud or inconsistency the current process misses and whether it can hold or shorten current approval speed without adding manual review. Success would be a measurable reduction in document/identity-related rejections or fraud flags on that single app's volume, with time-to-decision unchanged or better, before any conversation about extending it to the other six brands. The Loans Operations Manager or Head of Credit is the right first conversation, since they would see this fraud and turnaround pain directly across the shared back end.",SEC list of recorded online lending platforms,SEC,2021070020530-12,2026-09-14,https://www.sec.gov.ph/lending-companies-and-financing-companies-2/list-of-recorded-online-lending-platforms/,https://play.google.com/store/apps/details?id=com.mr.Inclusive&hl=en https://cashloanph.com/mrcashloanph/ https://www.sec.gov.ph/lending-companies-and-financing-companies-2/list-of-recorded-online-lending-platforms/ https://www.sec.gov.ph/wp-content/uploads/2023/07/2023Notices_2023-07-06-%20Order%20to%20Register%20with%20CIC%20version.pdf https://loanappreview.com/mr-cash-review/ https://hcmlnt.edu.vn/mr-cash.html https://www.mocasa.com/blog/how-to-contact-mr-cash-loan-app-customer-service/ https://loanappreviewphilippines.com/mr-cash-review/ https://www.scribd.com/document/795873789/2024List-COMPLAINTS-HANDLING-MECHANISM-update
Fidoph Lending Corporation,lending_company,olp_registered,prospect,Philippines,26,0.45,0.3,0.7,0.85,0.35,0.25,0.2,0.62,Head of Credit / Risk Officer,CEO / President of Fidoph Lending Corporation,"Fido's app already approves small unsecured cash loans in minutes off just a government ID, bank account and self-declared income, which suggests the credit decision is running on thin, largely unverified inputs rather than genuine document review — a setup where fraud losses and bad-approval risk likely hide behind the fast turnaround rather than being solved by it. The hypothesis worth testing is narrow: run Kita's Document Risk Score and AI Underwriter alongside Fido's current flow on a slice of new applications to see whether ID and income-document verification catches fraud or misstatement the existing process misses, without slowing down the advertised approval time. Success would be a measurable drop in downstream delinquency or manual override rate on that cohort within 30-60 days, reviewed with the Head of Credit/Risk Officer who owns that approval logic today. This stays deliberately small and reversible given the company's lean, single-product structure and the lack of any visible existing decisioning vendor to displace.",SEC list of recorded online lending platforms,SEC,CS201825101,2026-09-14,https://www.sec.gov.ph/lending-companies-and-financing-companies-2/list-of-recorded-online-lending-platforms/,"https://play.google.com/store/apps/details?id=ph.fido.fidoph&hl=en_US https://apps.apple.com/ph/app/fidoph-philippines-cash-loan/id6744317169 https://fido.ph/ https://loanappreviewphilippines.com/fido-review/ https://ploan.ph/register/2832/ https://tribune.net.ph/2026/02/25/sec-flags-illegal-lending-sites https://www.glassdoor.com/job-listing/legal-officer-%E2%80%93-collection-fidoph-lending-corp-JV_IC4778930_KO0,26_KE27,46.htm?jl=1009920089842 https://www.glassdoor.com/job-listing/hr-and-admin-fidoph-lending-corp-JV_IC2340354_KO0,12_KE13,32.htm?jl=1009964342578 https://fintechalliance.ph/about-us/"
Finance Technologies Inc. Doing Business Under The Name Of Pitacash,lending_company,olp_registered,prospect,Philippines,26,0.55,0.4,0.3,0.85,0.45,0.5,0.25,0.92,Head of Risk / Credit Risk Officer,CEO / General Manager of Finance Technologies Inc.,"PitaCash already underwrites its ₱1,000–₱25,000 loans in 10 minutes to 3 hours using JuicyScore's behavioral/fraud rules and scorecard layered on top of ID and business-permit documents, so the open question isn't whether PitaCash can move fast but whether its document intake and risk-scoring stack can hold approval quality and fraud losses steady as volume grows. A bounded pilot would route a slice of incoming applications through Kita's Document Risk Score and AI Underwriter alongside the existing JuicyScore-based flow, comparing document rejection rates, fraud flags, and share of applications resolved without manual review on matched cohorts over a few weeks. If, as the signals suggest, the current setup is more automated than the wedge's typical ""manual, multi-day"" target, the test is narrower: not replacing a slow process but proving Kita's document layer catches more risk or resolves ambiguous cases faster than the current third-party scorecard, giving the Head of Risk a concrete before/after on decision speed and default-relevant signal quality to bring to the CEO.",SEC list of recorded online lending platforms,SEC,CS201902369,2026-09-14,https://www.sec.gov.ph/lending-companies-and-financing-companies-2/list-of-recorded-online-lending-platforms/,https://fastloans.ph/pitacash/ https://advanceloans.ph/pitacash/ https://www.credilemon.com/ph/banco/pitacash https://juicyscore.ai/en/case-studies/risk-control-without-heavy-lifting-pita-cash-use-case-in-sea https://www.crunchbase.com/organization/pitacash https://www.facebook.com/pitacash/ https://www.sec.gov.ph/lending-companies-and-financing-companies-2/list-of-recorded-online-lending-platforms/ https://finanso.com/ph/pitacash/ https://www.linkedin.com/company/finance-technologies-incorporation
Magician Of Money Lending Corp.,lending_company,olp_registered,prospect,Philippines,26,0.45,0.5,0.5,0.85,0.3,0.25,0.15,0.67,Head of Credit Risk / Underwriting for the PeraMoo lending platform,General Manager / Managing Director of Magician of Money Lending Corp.,"PeraMoo's public flow already looks near-instant, gated mainly on phone verification, a government ID, and an in-app ""credit score test,"" which suggests Magician of Money Lending Corp has built its own lightweight scoring logic rather than a manual, document-heavy process—so the open question is how much of that ID and income-proof review is still a manual or semi-automated fallback behind the scenes, and where it fails or stalls on thin-file borrowers. The bounded test worth proposing: run Kita's Document Risk Score and AI Underwriter in shadow mode against a sample of recent PeraMoo applications (ID plus any income or bank-statement uploads) to see whether an independent, document-grounded decision would have changed approval outcomes, cut manual review touches, or shortened time-to-decision versus their current in-app scoring. Success would be a measurable lift in same-day auto-decisioned applications or a lower downstream default/complaint rate on the subset Kita would have approved differently, without touching the live approval flow. This keeps the pilot cheap and reversible while directly testing whether Kita's document-to-decision layer adds signal beyond PeraMoo's existing homegrown credit-score step.",SEC list of recorded online lending platforms,SEC,CS201918391,2026-09-14,https://www.sec.gov.ph/lending-companies-and-financing-companies-2/list-of-recorded-online-lending-platforms/,https://apps.apple.com/ph/app/peramoo-mabilis-cash-loan/id6755517916 https://hcmlnt.edu.vn/peramoo-loan.html https://magicianphilippine.com/ https://ploan.ph/register/3157/ https://loanphi.com/app/peramoo/ https://www.foi.gov.ph/agencies/sec/ https://bossjob.ph/en-us/company/magician-of-money-lending-corp
Makiling Development Bank Corporation,thrift_bank,,prospect,"Gate 1, YTMI Realty SEZ, Brgy. Makiling, Calamba City, 4027 Laguna",25,0.5,0.2,0.75,0.9,0.5,0.15,0.35,0.58,Head of Credit / Loan Officer,Bank President,"Banco Makiling sits on BSP's microfinance-operations list but its own site still describes collateral-backed SME, agricultural and housing loans with no visible online application flow, suggesting a branch-based, document-heavy process for at least a slice of its book, likely small-ticket loans decided on bank statements, IDs and permits rather than bureau history. With no LOS or decisioning vendor evident from its technographic footprint, the hypothesis worth testing is narrow: take one loan segment (say, small-ticket SME or microfinance renewals) and run Kita's Document Risk Score and AI Underwriter alongside the branch's existing manual review for a fixed batch of applications, measuring days-to-decision and the share resolved without a manual document-chasing step against the current baseline. A short pilot scoped to the Head of Credit's desk, with the Bank President as budget owner, would tell both sides whether faster document-based decisioning actually moves turnaround at this bank's scale before any broader commitment.",BSP Directory of Banks and Non-Bank Financial Institutions: thrift banks,BSP,85,2026-09-14,"https://www.bsp.gov.ph/_api/web/lists/getbytitle('Institutions')/items?$select=InstitutionID,Title,ShortBankName,InstitutionTypeID,InstitutionTypeID2,InstitutionTypeID3,Address,NumOffice,Status,Website,Modified&$filter=InstitutionTypeID%20eq%20'10'&$top=500",https://www.bsp.gov.ph/Lists/Directories/Attachments/22/Banks-with-Microfinance-Operations.pdf https://bancomakiling.com/ https://www.zoominfo.com/c/mt-makiling-rural-bank---head-office/463643455 https://www.bsp.gov.ph/Lists/Directories/Attachments/6/demand.pdf https://www.digest.ph/corporate/conversion-upgrade-of-the-license-of-mount-makiling-rural-bank-inc-to-operate-from-a-rural-bank-into-a-thrift-development-bank-under-the-corporate-name-makiling-development-bank https://ctb.com.ph/makiling-development-bank-corporation/
Pampanga Development Bank,thrift_bank,,prospect,"McArthur Highway, Dolores, San Fernando City, 2000 Pampanga",25,0.55,0.2,0.75,0.9,0.35,0.15,0.4,0.71,Head of Credit / Loans Department Officer,President / Chief Operating Officer,"Pampanga Development Bank's presence on BSP's microfinance-operations list, paired with a four-branch footprint and no visible online application or requirements page, suggests its microfinance and small-business loans are still decided branch-by-branch on paper documents—IDs, payslips, business permits—with no loan origination or decisioning vendor evident anywhere in its digital footprint. The hypothesis worth testing is narrow: route one branch's microfinance/SME application volume through Kita's Document Risk Score and AI Underwriter to see whether document-based decisions can be reached faster and with fewer manual touches than the current process, without asking the bank to change its core process elsewhere. A bounded pilot—one branch, a fixed number of applications over 4-6 weeks—could be judged on days-to-decision and the share of files that clear without a manual review step, giving the Head of Credit/Loans Officer a concrete before/after number to bring to the President/COO.",BSP Directory of Banks and Non-Bank Financial Institutions: thrift banks,BSP,69,2026-09-14,"https://www.bsp.gov.ph/_api/web/lists/getbytitle('Institutions')/items?$select=InstitutionID,Title,ShortBankName,InstitutionTypeID,InstitutionTypeID2,InstitutionTypeID3,Address,NumOffice,Status,Website,Modified&$filter=InstitutionTypeID%20eq%20'10'&$top=500",https://www.bsp.gov.ph/Lists/Directories/Attachments/22/Banks-with-Microfinance-Operations.pdf https://pampangadevbank.ph/ https://www.banksphilippines.com/2019/02/thrift-banks-in-the-philippines.html https://www.facebook.com/pamdbofficial/ https://ctb.com.ph/pampanga-development-bank-2/
"University Savings Bank, Inc.",thrift_bank,,prospect,"3rd Floor Corporate Building, UPHSL Compound, Sto. Niño, Biñan, Laguna",25,0.55,0.25,0.75,0.9,0.35,0.15,0.2,0.71,Head of Lending / Consumer and SME Loans,Bank President / CEO,"University Savings Bank's SME/business loan line looks, from its public site, like a manual, document-heavy process with no self-serve online application — likely built on branch collection of bank statements, IDs and business permits rather than bureau data, though the bank doesn't publish a requirements list or turnaround time to confirm this. The bounded test worth proposing to the Head of Lending is narrow: run Kita's Document Risk Score and AI Underwriter on a small batch of recent SME loan files (say 20-30 applications) alongside the current manual process, and compare days-to-decision and share of files needing no manual follow-up. If, as it appears, most delay sits in document intake and verification rather than committee review, this pilot would isolate whether automated capture and scoring meaningfully cuts turnaround before either side commits to anything larger.",BSP Directory of Banks and Non-Bank Financial Institutions: thrift banks,BSP,80,2026-09-14,"https://www.bsp.gov.ph/_api/web/lists/getbytitle('Institutions')/items?$select=InstitutionID,Title,ShortBankName,InstitutionTypeID,InstitutionTypeID2,InstitutionTypeID3,Address,NumOffice,Status,Website,Modified&$filter=InstitutionTypeID%20eq%20'10'&$top=500",https://usbi.com.ph/product-and-service/salary-loan/ https://usbi.com.ph/products-and-services-type/loan/ https://www.ceicdata.com/en/philippines/published-balance-sheet/thrift-bank-total-assets-university-savings-bank-inc https://en.wikipedia.org/wiki/List_of_largest_banks_in_the_Philippines https://ph.indeed.com/cmp/University-Savings-Bank https://usbi.com.ph/ https://www.linkedin.com/posts/rosellecastillo_university-savings-bank-inc-is-hiring-activity-7098222993083953152-vZLa https://www.jobstreet.com.ph/en/companies/495031-university-savings-bank https://usbi.com.ph/about-us/ https://www.facebook.com/p/University-Savings-Bank-100068852286834/
"AETHERIUM LENDING, INC. doing business under the name of BilisCash, PesoKey, SurePeso (formerly Codeblock Lending Inc.)",lending_company,olp_registered,prospect,Philippines,25,0.5,0.25,0.65,0.85,0.5,0.2,0.2,0.42,Head of Credit / Risk Operations,Founder / CEO or Managing Director,"Aetherium Lending runs three consumer peso-loan apps—BilisCash, PesoKey, SurePeso—that, like other apps in this template category, likely underwrite small unsecured loans from a government ID and stated income rather than bureau history, but the public listings don't disclose whether ID and fraud checks are still routed through manual review or a real decisioning layer. Given the SEC certificate is active and clean, the hypothesis worth testing with the Head of Credit/Risk Operations is narrow: run Kita's Document Risk Score and AI Underwriter against a sample of recent SurePeso applications to see whether ID and income documents can be scored and a decision reached without manual touch, benchmarked against current turnaround time and document rejection rate. A bounded pilot on one brand's application flow would surface whether this is genuinely a manual bottleneck worth fixing across all three brands, or whether the flow is already automated enough that the gain is marginal.",SEC list of recorded online lending platforms,SEC,CS201913681,2026-09-14,https://www.sec.gov.ph/lending-companies-and-financing-companies-2/list-of-recorded-online-lending-platforms/,https://play.google.com/store/apps/details?id=com.surepeso.app http://www.amlc.gov.ph/images/PDFs/Main/LIST%20OF%20SEC%20SUPERVISED%20ENTITIES%20REGISTERED%20WITH%20AMLC%20AS%20OF%2031%20MARCH%202023.pdf https://www.sec.gov.ph/lending-companies-and-financing-companies-2/press-release/ https://business.inquirer.net/599350/sec-lifts-moratorium-on-online-lending-firms
First Circle Growth Finance Corp,lending_company,olp_registered,prospect,Philippines,25,0.4,0.65,0.15,0.9,0.45,0.75,0.45,0.89,Head of Credit Underwriting / Risk Operations,CEO / Chief Risk Officer,"First Circle already markets a 2-business-day credit line decision and positions its proprietary risk models as a moat, so the opening isn't ""you're slow,"" it's ""where in that 2-day window is a human still touching bank statements, IDs, or business permits, and can that step shrink further."" Given live hiring for Risk Operations Analyst and Credit Underwriter roles alongside new product lines (Amortizing Loans, Solar Financing, Payroll), it's plausible the underwriting team is stretching its manual review capacity to cover more products rather than having fully automated document intake. The bounded pilot to propose: run Kita's Document Risk Score and AI Underwriter in shadow mode on a slice of incoming SME applications for one of the newer product lines, comparing time-to-decision and manual-review rate against First Circle's current process without touching the live credit line flow. Success would be a measurable cut in manual document handling or decision time on that slice, tested as a hypothesis rather than assumed, given how central First Circle's in-house risk engine is to its own positioning.",SEC list of recorded online lending platforms,SEC,CS201605477,2026-09-14,https://www.sec.gov.ph/lending-companies-and-financing-companies-2/list-of-recorded-online-lending-platforms/,https://business.inquirer.net/310210/sme-lender-lands-on-inclusive-fintech-50-first-circle https://www.firstcircle.ph/contact-us https://fintechnews.ph/63014/funding/first-circle-7-million-ifc-funding/ https://www.triodos-im.com/articles/2025/investment-financial-inclusion-first-circle-growth-finance https://ph.indeed.com/First-Circle-jobs https://finanso.com/ph/firstcircle/ https://startupintros.com/orgs/first-circle https://leadiq.com/c/first-circle/5a1d9d442300005b008d1e72 https://www.sec.gov.ph/lending-companies-and-financing-companies-2/list-of-recorded-online-lending-platforms/ https://www.firstcircle.ph/ https://builtin.com/company/first-circle
Ifun Lending Corp. Doing Business Under The Name And Style Of “Madaloan”,lending_company,olp_registered,prospect,Philippines,25,0.6,0.35,0.4,0.9,0.45,0.2,0.25,0.43,Head of Credit / Chief Risk Officer,President / CEO of Ifun Lending Corp.,"Madaloan already runs a fully mobile, app-based application on a thin-file consumer base (ID plus proof of income, no collateral or guarantor), and its own privacy policy suggests it has some homegrown automated credit and fraud checks in place already — which raises the question of how much of that decisioning is actually consistent and fast versus a patchwork of manual review layered on top. The bounded pilot worth proposing to the Head of Credit / Chief Risk Officer is a side-by-side run of Kita's Document Risk Score and AI Underwriter against a sample of recent applications, testing whether it can match or beat Madaloan's current same-day-to-one-day turnaround while lifting the share of applications resolved without manual intervention. Given this is likely a small, single-product lending company where the CEO holds the budget call, the ask should be scoped narrowly: a fixed batch of applications, a fixed time window, and a clear before/after read on days-to-decision and document rejection rate, not a platform commitment.",SEC list of recorded online lending platforms,SEC,2021090025243-01,2026-09-14,https://www.sec.gov.ph/lending-companies-and-financing-companies-2/list-of-recorded-online-lending-platforms/,https://play.google.com/store/apps/details?id=com.urpxf.mdsig&hl=es&gl=US https://loanz.ph/madaloan https://madaloan-easy-lend-pera-peso.en.download.it/android https://madaloan.com/app/madaloan/PrivacyPolicy.html https://madaloan-easy-lend-pera-peso.en.softonic.com/android http://www.amlc.gov.ph/images/PDFs/Main/SEC31Jan25.pdf https://www.foi.gov.ph/requests/registered-and-legally-running-online-lending-companies/ https://madaloan.updatestar.com/en https://retailasiaonline.com/madaloan.html
"Leaflending Inc. doing business under the name/s and style/s of CredoPera, Loanova and OnePeso",lending_company,olp_registered,prospect,Philippines,25,0.5,0.25,0.7,0.85,0.45,0.2,0.2,0.33,Head of Credit / Underwriting Manager,CEO / President of the lending company,"Leaflending's presence on the SEC's recorded online lending platform list is the firmest fact available; everything about how CredoPera, Loanova and OnePeso actually decide loans is inferred from the pattern typical of similar SEC-registered OLP operators, which is small-ticket unsecured cash lending underwritten from a single ID and basic e-wallet or income data rather than bureau history. If, as it appears, that document-light, thin-file pattern holds here too, the pilot worth proposing to the Head of Credit/Underwriting Manager is narrow: route one brand's new applications through Kita Capture and the Document Risk Score for 30-60 days, alongside the existing manual review, and compare days-to-decision and the share of applications clearable without a manual document check. Given no named LOS or decisioning vendor turned up for this entity, the working hypothesis is a largely homegrown or manual stack, so success would be a measurable cut in manual touch-time on one brand's queue before any conversation about the CEO/President committing budget across all three brands.",SEC list of recorded online lending platforms,SEC,CS2024120181312-01,2026-09-14,https://www.sec.gov.ph/lending-companies-and-financing-companies-2/list-of-recorded-online-lending-platforms/,https://www.sec.gov.ph/lending-companies-and-financing-companies-2/list-of-recorded-online-lending-platforms/ https://www.sec.gov/Archives/edgar/data/1855612/000095017024037611/ck0001855612-20231231.htm
Perajet Lending Corporation,lending_company,olp_registered,prospect,Philippines,25,0.55,0.2,0.7,0.9,0.4,0.3,0.2,0.53,Head of Lending Operations / Credit Officer,Chief Executive Officer,"PeraJet already approves small unsecured cash loans off just a valid ID and basic personal information in as little as two minutes to 24 hours, which suggests a lean, likely rules-based ID check rather than a document-heavy manual process today — the opposite of the bank-statement-driven MSME book Kita usually displaces. Given that, the angle worth testing with the credit officer isn't speed (they're already fast) but consistency and fraud risk at that speed: a bounded pilot could run Kita's Document Risk Score and AI Underwriter alongside PeraJet's current ID-based approval flow on a slice of new applications to see whether it catches fraudulent or duplicate IDs and reduces downstream default without adding friction to the 24-hour turnaround. Success would be measured narrowly — change in document/ID rejection or fraud-flag rate and any shift in approval-to-decision time — before any conversation about wider platform replacement, since this is a two-person operation where the CEO likely controls any tooling spend directly.",SEC list of recorded online lending platforms,SEC,CS201629480,2026-09-14,https://www.sec.gov.ph/lending-companies-and-financing-companies-2/list-of-recorded-online-lending-platforms/,https://www.coolfinance.ph/loan/perajet https://www.zoominfo.com/c/perajet-lending-corp/546954460 https://advanceloans.ph/perajet/ https://finanso.com/ph/perajet/ https://rocketreach.co/perajet-lending-corporation-profile_b45bccb4fc5e4c36 https://perajet.ph/contact/ https://upfinance.com/company/perajet/ https://www.sec.gov.ph/lending-companies-and-financing-companies-2/press-release/ https://business.inquirer.net/599350/sec-lifts-moratorium-on-online-lending-firms https://www.zoominfo.com/p/Adrian-Babij/2882148966
"Overseas Filipino Bank, Inc., A Digital Bank of LANDBANK",digital_bank,,prospect,"Palacio del Gobernador Building, corner of Andres Soriano and General Luna Streets, Intramuros, Manila, Philippines",24,0.4,0.3,0.6,0.9,0.25,0.4,0.25,0.94,Head of Lending/Credit Operations at OFBank,President & CEO of OFBank (in coordination with LANDBANK executive sponsors),"OFBank is still pre-launch on its own native lending product, currently routing OFW borrowers to parent LANDBANK's branch-based OFW Reintegration Program, which requires a business plan, working-capital documentation, and an in-person branch or Lending Center visit; meanwhile OFBank's own strategic plan names a Multi-purpose Loan, Pre-departure Loan, and Education Loan as forthcoming, and its president has publicly flagged the need to build a proper risk framework before proceeding. That gap is the opening: propose a bounded pilot in which Kita's Document Risk Score and AI Underwriter process a sample of the documents OFWs and beneficiaries would submit for one of these planned products (IDs, payslips, remittance history, business permits) to test whether a digital-first underwriting flow can meaningfully cut days-to-decision and the share of files requiring a branch visit, compared to the current LANDBANK referral path. Given OFBank already runs its own in-house AI onboarding system (DOBSAI), the hypothesis is that its team has both the appetite and some internal precedent for AI-assisted decisioning, so the pilot's success metric would be simple: percentage of sampled applications reaching a decision without manual document handling, benchmarked against today's branch-routed process before any product formally launches.",BSP Directory of Banks and Non-Bank Financial Institutions: digital banks,BSP,460,2026-09-14,"https://www.bsp.gov.ph/_api/web/lists/getbytitle('Institutions')/items?$select=InstitutionID,Title,ShortBankName,InstitutionTypeID,InstitutionTypeID2,InstitutionTypeID3,Address,NumOffice,Status,Website,Modified&$filter=InstitutionTypeID%20eq%20'14'&$top=500",https://fintechnews.ph/61177/digital-banking-news-philippines/landbanks-ofbank-eyes-introduction-of-digital-loans/ https://www.ofbank.com.ph/products-services/loans https://www.landbank.com/news/landbank-spurs-financial-independence-for-ofws-with-p268-b-in-loans https://www.ofbank.com.ph/public/upload/files/OFBank%20Strategic%20Plan%202024-2028.pdf https://bworldonline.com/economy/2024/05/20/596388/landbank-approves-p2-68-b-ofw-loans/ https://www.dof.gov.ph/ofbank-is-officially-first-digital-only-bank-in-phl-after-obtaining-bsp-banking-license/ https://en.wikipedia.org/wiki/Digital_banks_in_the_Philippines https://www.businesswire.com/news/home/20221102005161/en/UnionDigital-Bank-Partners-with-Thought-Machine-to-Power-its-Digital-Banking-Platform https://www.bworldonline.com/top-stories/2026/01/27/726548/bsp-may-complete-review-of-digital-bank-license-applications-in-1st-quarter/ https://www.ofbank.com.ph/about-us/about-ofbank https://en.wikipedia.org/wiki/Overseas_Filipino_Bank
Lf Lending Services Corporation,lending_company,olp_registered,prospect,Philippines,24,0.6,0.3,0.35,0.9,0.5,0.25,0.3,0.72,General Manager / Head of Credit Operations,President / Co-Founder (owner-operator),"LF Lending already layers FinScore telco data and CIC bureau checks into its consumer loan decisioning, so the open question isn't whether it uses alternative data but where the remaining manual work sits — likely in verifying the IDs, payslips, and other documents borrowers submit through its app for ₱2,000–₱150,000 loans. A bounded pilot would run Kita's Document Risk Score and AI Underwriter alongside the existing FinScore/CIC pipeline on a sample of incoming applications, testing whether document-level automation can convert its ""few minutes"" evaluation claim into a measurable share of applications decided with zero manual document review, without touching the FinScore relationship itself. Success would be a lift in the percentage of applications fully auto-decided and a drop in document-related rejections or re-submissions over a fixed test window, giving the general manager evidence before any wider workflow change.",SEC list of recorded online lending platforms,SEC,CS202001294,2026-09-14,https://www.sec.gov.ph/lending-companies-and-financing-companies-2/list-of-recorded-online-lending-platforms/,https://fintechnews.ph/58481/lending/lf-lending-services-modernizes-credit-scoring-process-with-finscores-alternative-telco-data/ https://play.google.com/store/apps/details?id=com.lflendingservices.android&hl=en-US https://www.lflendingservices.com/about/ https://www.sec.gov.ph/lending-companies-and-financing-companies-2/list-of-recorded-online-lending-platforms/ https://fintechnews.ph/fintechs-in-philippines-directory/fintech/lf-lending/
Asiasource Financial Inc,lending_company,olp_registered,prospect,Philippines,24,0.35,0.45,0.25,0.85,0.5,0.6,0.35,0.65,Head of Data Science & Credit Risk (or regional Head of Underwriting),Philippines Country Manager / COO of Asiasource Financial,"Asiasource's FINN app already approves salary advances off a single government ID and a linked payroll account in about ten minutes, and the group is currently hiring a Head of Data Science & Credit Risk to build ML-driven underwriting across its Southeast Asia markets — a sign the decision layer is being actively rebuilt in-house rather than being a settled, static process. Kita's angle should be to test, on a narrow slice of ID-plus-payroll applications, whether Document Risk Score and AI Underwriter can match or beat FINN's current internal-assessment approval rate and speed while cutting fraud/document-quality misses, without asking the team to rip out its existing flow. A bounded pilot could run a shadow-mode comparison on a fixed volume of new applications, with success measured as decision-time parity or improvement and a measurable drop in downstream fraud or reject-after-disbursement rates versus the incumbent internal model. This framing treats Kita as an option to benchmark against the in-house build the credit-risk hire is standing up, not a wholesale swap of a process that, on current evidence, is already largely automated.",SEC list of recorded online lending platforms,SEC,CS201412567,2026-09-14,https://www.sec.gov.ph/lending-companies-and-financing-companies-2/list-of-recorded-online-lending-platforms/,https://play.google.com/store/apps/details?id=com.finn.app&hl=en_US https://blog-ph.finn-app.com/kilalanin-ang-finn-app/ https://blog-ph.finn-app.com/faqs-tungkol-sa-finn-app/ https://play.google.com/store/apps/details?id=com.finn.app https://freehire.me/jobs/head-of-data-science-credit-risk-finn-q7wfjllr http://www.asiasourcefinancial.com/ https://secregisteredloanapp.com/finn-loan.html https://www.crunchbase.com/organization/finn-f39b https://www.finn-app.com/careers.html https://www.bpi.com.ph/personal/rewards-and-promotions/promos/bpi-and-finn-app-raffle-promo https://www.facebook.com/finn.app.ph/
Online Loans Pilipinas Financing Inc.,lending_company,olp_registered,prospect,Philippines,24,0.5,0.5,0.3,0.9,0.3,0.2,0.3,0.80,Country Head of Credit / Risk (Online Loans Pilipinas),"Country President / General Manager, Online Loans Pilipinas (reporting into 4finance Group risk/technology leadership)","Online Loans Pilipinas already runs a ""1 ID, 5-minute"" auto-decision flow on its ₱1,000–₱130,000 unsecured cash loans, which suggests its current approval logic is likely a proprietary or group-inherited rule engine rather than a document-AI layer, and reviewer complaints about opaque auto-approved amounts hint the underlying model may be under-optimized for edge cases and thin-file variance. The angle for Kita is to propose a narrow, side-by-side pilot on a slice of new applications: run Kita's Document Risk Score and AI Underwriter against OLP's existing decision on the same ID/income-document set, measuring whether Kita can match or shorten the 5-minute decision time while reducing document rejection rate or catching risk the current auto-approval misses. Given OLP's shrinking book and likely centralized tech mandate from 4finance, the ask should be scoped as a local, reversible proof of accuracy and speed lift — not a system replacement — so the Country Head of Credit/Risk can bring a concrete before/after number to group technology leadership rather than a procurement decision.",SEC list of recorded online lending platforms,SEC,CS201726430,2026-09-14,https://www.sec.gov.ph/lending-companies-and-financing-companies-2/list-of-recorded-online-lending-platforms/,https://apps.apple.com/ph/app/online-loans-pilipinas/id6477775943 https://play.google.com/store/apps/details?id=ph.onlineloans.mobile.android&hl=en_US&gl=PH https://www.4finance.com/press-releases/4finance-expands-to-south-east-asia-with-philippines-acquisition https://www.emis.com/php/company-profile/PH/Online_Loans_Pilipinas_Financing_Inc_en_16574882.html https://cdn.prod.website-files.com/5f073e5f9682df607c6ad316/62837b1306c291c82cc3aa54_OLPF%20Press%20Release%2017%205%2022.pdf https://ph.jobstreet.com/Online-Loans-Pilipinas-Financing-jobs/in-Philippines
